Run1:
Estimate of Posterior Sizes:
Marginal Association Size:
0: 0.164, 1: 0.324, 2: 0.282, 3: 0.152, 4: 0.057, 5: 0.016, 6: 0.004, 7: 0.001, 8: 0.000, 9: 0.000, 10: 0.000, 11: 0.000, 
Interaction Association Size:
0: 1.000, 
Metropolis-Hastings Acceptance Rates:
burnin: 0.110,	move0= 0.089,	move1= 0.108,	move2= 0.095,	
---------------------------------------------------
1791 :	 B-stat = 20.171441	 P = 0.393576
3731 :	 B-stat = 2.966804	 P = 1.000000
3730 :	 B-stat = 0.964529	 P = 1.000000
6471 :	 B-stat = 2.715701	 P = 1.000000
3722 :	 B-stat = 0.423341	 P = 1.000000
3717 :	 B-stat = 1.869141	 P = 1.000000
3715 :	 B-stat = 2.459855	 P = 1.000000
4691 :	 B-stat = 2.760059	 P = 1.000000
3708 :	 B-stat = 4.205442	 P = 1.000000
3706 :	 B-stat = 2.230145	 P = 1.000000
5819 :	 B-stat = 1.255236	 P = 1.000000
8650 :	 B-stat = 1.592904	 P = 1.000000
6820 :	 B-stat = 0.648874	 P = 1.000000
5215 :	 B-stat = 0.103646	 P = 1.000000
8057 :	 B-stat = 1.339178	 P = 1.000000
3690 :	 B-stat = 0.231184	 P = 1.000000
3689 :	 B-stat = 4.053523	 P = 1.000000
3684 :	 B-stat = 0.698037	 P = 1.000000
3682 :	 B-stat = 1.457126	 P = 1.000000
6133 :	 B-stat = 0.318561	 P = 1.000000
3678 :	 B-stat = 2.619788	 P = 1.000000
3677 :	 B-stat = 0.367741	 P = 1.000000
3676 :	 B-stat = 0.864576	 P = 1.000000
3674 :	 B-stat = 1.267218	 P = 1.000000
5472 :	 B-stat = 1.367623	 P = 1.000000
3668 :	 B-stat = 3.324466	 P = 1.000000
6137 :	 B-stat = 2.029630	 P = 1.000000
6138 :	 B-stat = 2.508187	 P = 1.000000
5475 :	 B-stat = 0.204619	 P = 1.000000
3663 :	 B-stat = 0.816614	 P = 1.000000
3662 :	 B-stat = 1.920358	 P = 1.000000
3661 :	 B-stat = 1.602586	 P = 1.000000
4684 :	 B-stat = 0.706999	 P = 1.000000
4682 :	 B-stat = 0.377225	 P = 1.000000
3652 :	 B-stat = 2.464629	 P = 1.000000
3651 :	 B-stat = 3.032273	 P = 1.000000
6487 :	 B-stat = 2.717110	 P = 1.000000
3647 :	 B-stat = 1.226674	 P = 1.000000
3646 :	 B-stat = 2.530397	 P = 1.000000
3606 :	 B-stat = 3.496035	 P = 1.000000
3593 :	 B-stat = -0.019277	 P = 1.000000
6489 :	 B-stat = 2.685940	 P = 1.000000
6912 :	 B-stat = 5.484953	 P = 1.000000
3546 :	 B-stat = 0.875187	 P = 1.000000
3540 :	 B-stat = 1.413314	 P = 1.000000
5340 :	 B-stat = 1.262355	 P = 1.000000
3522 :	 B-stat = 2.047252	 P = 1.000000
3518 :	 B-stat = 1.508925	 P = 1.000000
3509 :	 B-stat = 4.363149	 P = 1.000000
6916 :	 B-stat = 0.478863	 P = 1.000000
5862 :	 B-stat = 2.207279	 P = 1.000000
7362 :	 B-stat = 1.533499	 P = 1.000000
3462 :	 B-stat = 0.248834	 P = 1.000000
3461 :	 B-stat = 2.003321	 P = 1.000000
4663 :	 B-stat = 0.025841	 P = 1.000000
4659 :	 B-stat = 10.372663	 P = 1.000000
3455 :	 B-stat = 1.535080	 P = 1.000000
3454 :	 B-stat = 0.012020	 P = 1.000000
4645 :	 B-stat = 4.372062	 P = 1.000000
3447 :	 B-stat = 0.984246	 P = 1.000000
6922 :	 B-stat = 1.478715	 P = 1.000000
6147 :	 B-stat = 0.516228	 P = 1.000000
3442 :	 B-stat = 5.230432	 P = 1.000000
5204 :	 B-stat = 0.488004	 P = 1.000000
3437 :	 B-stat = 2.677872	 P = 1.000000
5863 :	 B-stat = 1.955088	 P = 1.000000
3434 :	 B-stat = 2.527581	 P = 1.000000
4631 :	 B-stat = 1.661875	 P = 1.000000
3431 :	 B-stat = 0.618203	 P = 1.000000
6927 :	 B-stat = 2.483133	 P = 1.000000
8661 :	 B-stat = 0.625067	 P = 1.000000
6499 :	 B-stat = 6.159405	 P = 1.000000
4628 :	 B-stat = 3.156378	 P = 1.000000
5479 :	 B-stat = 0.974291	 P = 1.000000
6501 :	 B-stat = 1.071670	 P = 1.000000
6502 :	 B-stat = 0.335194	 P = 1.000000
3408 :	 B-stat = 2.735786	 P = 1.000000
3404 :	 B-stat = 5.721134	 P = 1.000000
3385 :	 B-stat = 7.708720	 P = 1.000000
7327 :	 B-stat = 1.319646	 P = 1.000000
6503 :	 B-stat = 0.190733	 P = 1.000000
3365 :	 B-stat = 3.093117	 P = 1.000000
6808 :	 B-stat = 3.268231	 P = 1.000000
3360 :	 B-stat = 2.585823	 P = 1.000000
4625 :	 B-stat = 2.780632	 P = 1.000000
8095 :	 B-stat = 4.223332	 P = 1.000000
3354 :	 B-stat = 1.453039	 P = 1.000000
3352 :	 B-stat = 3.135252	 P = 1.000000
5642 :	 B-stat = 0.016522	 P = 1.000000
4624 :	 B-stat = 0.148648	 P = 1.000000
3344 :	 B-stat = 1.511650	 P = 1.000000
3341 :	 B-stat = 0.052830	 P = 1.000000
6505 :	 B-stat = 1.098179	 P = 1.000000
3339 :	 B-stat = 2.033792	 P = 1.000000
3327 :	 B-stat = 11.368490	 P = 1.000000
3297 :	 B-stat = 1.118734	 P = 1.000000
4939 :	 B-stat = 4.371340	 P = 1.000000
3219 :	 B-stat = 2.972921	 P = 1.000000
3201 :	 B-stat = 2.519372	 P = 1.000000
5866 :	 B-stat = 2.962997	 P = 1.000000
3166 :	 B-stat = 1.741328	 P = 1.000000
6938 :	 B-stat = 1.453567	 P = 1.000000
3163 :	 B-stat = 1.502030	 P = 1.000000
6939 :	 B-stat = 2.199560	 P = 1.000000
3158 :	 B-stat = 0.452330	 P = 1.000000
3154 :	 B-stat = 0.741527	 P = 1.000000
3149 :	 B-stat = 3.735892	 P = 1.000000
4622 :	 B-stat = 0.946469	 P = 1.000000
3139 :	 B-stat = 1.858206	 P = 1.000000
3087 :	 B-stat = 7.907864	 P = 1.000000
3081 :	 B-stat = 7.676074	 P = 1.000000
3077 :	 B-stat = 8.617765	 P = 1.000000
3073 :	 B-stat = 1.229526	 P = 1.000000
8825 :	 B-stat = 3.937736	 P = 1.000000
3070 :	 B-stat = 0.944543	 P = 1.000000
3061 :	 B-stat = 2.220766	 P = 1.000000
5869 :	 B-stat = 1.367583	 P = 1.000000
6945 :	 B-stat = 0.702068	 P = 1.000000
3030 :	 B-stat = 3.138657	 P = 1.000000
3006 :	 B-stat = 3.926539	 P = 1.000000
7495 :	 B-stat = 0.874972	 P = 1.000000
8836 :	 B-stat = 2.577088	 P = 1.000000
5645 :	 B-stat = 1.235314	 P = 1.000000
6952 :	 B-stat = 2.395930	 P = 1.000000
2945 :	 B-stat = 0.003172	 P = 1.000000
8116 :	 B-stat = 5.843300	 P = 1.000000
8662 :	 B-stat = 1.553862	 P = 1.000000
4620 :	 B-stat = 1.050390	 P = 1.000000
6806 :	 B-stat = 0.357659	 P = 1.000000
5874 :	 B-stat = 4.134372	 P = 1.000000
4614 :	 B-stat = 1.687885	 P = 1.000000
2926 :	 B-stat = 3.599168	 P = 1.000000
6954 :	 B-stat = 1.369080	 P = 1.000000
6955 :	 B-stat = 0.712336	 P = 1.000000
2921 :	 B-stat = 1.010353	 P = 1.000000
7365 :	 B-stat = 8.632763	 P = 1.000000
2918 :	 B-stat = 1.884893	 P = 1.000000
6956 :	 B-stat = 1.292484	 P = 1.000000
2915 :	 B-stat = 2.703721	 P = 1.000000
2899 :	 B-stat = 2.085453	 P = 1.000000
2861 :	 B-stat = 0.702303	 P = 1.000000
6833 :	 B-stat = 0.622975	 P = 1.000000
4610 :	 B-stat = 2.740421	 P = 1.000000
2847 :	 B-stat = 2.937859	 P = 1.000000
6163 :	 B-stat = 2.711203	 P = 1.000000
2844 :	 B-stat = 3.041965	 P = 1.000000
6164 :	 B-stat = 0.614713	 P = 1.000000
2840 :	 B-stat = 1.986394	 P = 1.000000
2838 :	 B-stat = 0.180289	 P = 1.000000
2834 :	 B-stat = 1.314936	 P = 1.000000
6812 :	 B-stat = 2.253608	 P = 1.000000
2830 :	 B-stat = 3.116561	 P = 1.000000
7961 :	 B-stat = 11.922445	 P = 1.000000
2828 :	 B-stat = 0.238470	 P = 1.000000
2825 :	 B-stat = 4.016079	 P = 1.000000
6960 :	 B-stat = 0.388589	 P = 1.000000
2823 :	 B-stat = 5.091445	 P = 1.000000
6805 :	 B-stat = 0.087373	 P = 1.000000
4860 :	 B-stat = 1.390319	 P = 1.000000
6962 :	 B-stat = 0.110270	 P = 1.000000
2815 :	 B-stat = 2.866189	 P = 1.000000
2812 :	 B-stat = 1.495824	 P = 1.000000
6963 :	 B-stat = 0.711755	 P = 1.000000
2805 :	 B-stat = 0.299771	 P = 1.000000
2801 :	 B-stat = 2.623395	 P = 1.000000
6964 :	 B-stat = 2.003982	 P = 1.000000
4599 :	 B-stat = 3.948347	 P = 1.000000
4598 :	 B-stat = 2.354965	 P = 1.000000
2785 :	 B-stat = 0.038902	 P = 1.000000
6166 :	 B-stat = 0.823427	 P = 1.000000
2782 :	 B-stat = 1.057584	 P = 1.000000
2712 :	 B-stat = 1.197482	 P = 1.000000
6167 :	 B-stat = 3.135030	 P = 1.000000
2709 :	 B-stat = 0.263227	 P = 1.000000
2705 :	 B-stat = 1.763322	 P = 1.000000
5481 :	 B-stat = 5.630236	 P = 1.000000
6969 :	 B-stat = 1.133824	 P = 1.000000
2699 :	 B-stat = 1.044355	 P = 1.000000
8136 :	 B-stat = 0.524826	 P = 1.000000
2695 :	 B-stat = 1.609795	 P = 1.000000
8137 :	 B-stat = 0.297828	 P = 1.000000
8141 :	 B-stat = 1.496204	 P = 1.000000
2685 :	 B-stat = 0.608879	 P = 1.000000
4951 :	 B-stat = 2.226153	 P = 1.000000
6804 :	 B-stat = 2.608378	 P = 1.000000
6836 :	 B-stat = 1.674584	 P = 1.000000
2676 :	 B-stat = 0.934482	 P = 1.000000
2674 :	 B-stat = 0.931758	 P = 1.000000
2673 :	 B-stat = 3.176328	 P = 1.000000
2668 :	 B-stat = 2.656958	 P = 1.000000
8143 :	 B-stat = 1.862345	 P = 1.000000
5616 :	 B-stat = 0.937213	 P = 1.000000
2658 :	 B-stat = 0.004611	 P = 1.000000
2601 :	 B-stat = 0.095800	 P = 1.000000
2567 :	 B-stat = 2.664825	 P = 1.000000
2475 :	 B-stat = 3.723441	 P = 1.000000
2469 :	 B-stat = 3.109519	 P = 1.000000
4586 :	 B-stat = 1.595946	 P = 1.000000
8144 :	 B-stat = 0.141875	 P = 1.000000
2457 :	 B-stat = 3.069652	 P = 1.000000
2456 :	 B-stat = 5.428346	 P = 1.000000
2447 :	 B-stat = 0.805847	 P = 1.000000
2445 :	 B-stat = 5.777819	 P = 1.000000
5879 :	 B-stat = 1.043363	 P = 1.000000
2439 :	 B-stat = 3.421531	 P = 1.000000
2434 :	 B-stat = 2.800176	 P = 1.000000
4583 :	 B-stat = 2.655084	 P = 1.000000
2416 :	 B-stat = 1.404789	 P = 1.000000
2412 :	 B-stat = 4.060262	 P = 1.000000
2411 :	 B-stat = 2.028791	 P = 1.000000
7372 :	 B-stat = 3.832951	 P = 1.000000
4580 :	 B-stat = 2.898466	 P = 1.000000
2406 :	 B-stat = 0.482940	 P = 1.000000
2404 :	 B-stat = 2.321049	 P = 1.000000
2403 :	 B-stat = 2.182229	 P = 1.000000
6975 :	 B-stat = 1.330779	 P = 1.000000
2398 :	 B-stat = 2.216762	 P = 1.000000
2396 :	 B-stat = 0.467984	 P = 1.000000
4579 :	 B-stat = 2.051786	 P = 1.000000
8874 :	 B-stat = 2.649476	 P = 1.000000
4577 :	 B-stat = 1.012215	 P = 1.000000
4576 :	 B-stat = 0.428203	 P = 1.000000
2367 :	 B-stat = 2.926186	 P = 1.000000
8875 :	 B-stat = 4.100064	 P = 1.000000
2365 :	 B-stat = 0.339012	 P = 1.000000
5880 :	 B-stat = 2.662178	 P = 1.000000
4575 :	 B-stat = 0.033110	 P = 1.000000
2360 :	 B-stat = 4.299877	 P = 1.000000
2359 :	 B-stat = 3.597805	 P = 1.000000
2358 :	 B-stat = 2.164846	 P = 1.000000
8150 :	 B-stat = 0.428388	 P = 1.000000
2356 :	 B-stat = 1.864630	 P = 1.000000
2320 :	 B-stat = 1.755313	 P = 1.000000
2252 :	 B-stat = 2.528883	 P = 1.000000
2209 :	 B-stat = 1.503457	 P = 1.000000
2201 :	 B-stat = 10.107450	 P = 1.000000
2199 :	 B-stat = 2.735278	 P = 1.000000
5207 :	 B-stat = 1.940639	 P = 1.000000
4572 :	 B-stat = 1.425181	 P = 1.000000
6839 :	 B-stat = 0.191436	 P = 1.000000
8677 :	 B-stat = 1.313960	 P = 1.000000
2170 :	 B-stat = 4.491961	 P = 1.000000
2168 :	 B-stat = 1.228639	 P = 1.000000
2167 :	 B-stat = 0.659120	 P = 1.000000
4547 :	 B-stat = 3.856156	 P = 1.000000
8880 :	 B-stat = 0.015429	 P = 1.000000
2104 :	 B-stat = 3.382811	 P = 1.000000
8681 :	 B-stat = 3.134460	 P = 1.000000
8881 :	 B-stat = 1.585972	 P = 1.000000
8882 :	 B-stat = 2.510192	 P = 1.000000
8686 :	 B-stat = 0.531281	 P = 1.000000
2095 :	 B-stat = 0.741825	 P = 1.000000
8884 :	 B-stat = 1.417195	 P = 1.000000
2093 :	 B-stat = 1.966593	 P = 1.000000
8153 :	 B-stat = 1.740462	 P = 1.000000
2089 :	 B-stat = -0.006036	 P = 1.000000
2088 :	 B-stat = 0.191474	 P = 1.000000
2087 :	 B-stat = 2.884998	 P = 1.000000
2085 :	 B-stat = 0.034748	 P = 1.000000
2084 :	 B-stat = 4.302130	 P = 1.000000
8889 :	 B-stat = 2.124774	 P = 1.000000
2077 :	 B-stat = 1.786496	 P = 1.000000
4506 :	 B-stat = 2.024835	 P = 1.000000
8891 :	 B-stat = 2.116317	 P = 1.000000
2030 :	 B-stat = 3.181363	 P = 1.000000
8892 :	 B-stat = 0.469020	 P = 1.000000
4505 :	 B-stat = 4.114057	 P = 1.000000
2021 :	 B-stat = 0.657875	 P = 1.000000
2020 :	 B-stat = 3.231645	 P = 1.000000
2019 :	 B-stat = 1.178764	 P = 1.000000
2016 :	 B-stat = 1.638125	 P = 1.000000
6086 :	 B-stat = 1.500647	 P = 1.000000
2013 :	 B-stat = 2.416014	 P = 1.000000
2010 :	 B-stat = 3.018447	 P = 1.000000
8893 :	 B-stat = 1.943106	 P = 1.000000
2006 :	 B-stat = 0.480525	 P = 1.000000
2005 :	 B-stat = 1.853453	 P = 1.000000
7384 :	 B-stat = 3.388602	 P = 1.000000
2000 :	 B-stat = 1.034855	 P = 1.000000
8155 :	 B-stat = 2.383334	 P = 1.000000
1977 :	 B-stat = 2.726897	 P = 1.000000
1966 :	 B-stat = 7.989556	 P = 1.000000
1964 :	 B-stat = 2.746043	 P = 1.000000
1956 :	 B-stat = 5.055813	 P = 1.000000
1955 :	 B-stat = 2.022137	 P = 1.000000
1954 :	 B-stat = 3.372566	 P = 1.000000
6089 :	 B-stat = 3.520987	 P = 1.000000
6090 :	 B-stat = 1.034348	 P = 1.000000
1948 :	 B-stat = 0.595787	 P = 1.000000
1944 :	 B-stat = 0.799448	 P = 1.000000
1942 :	 B-stat = 1.365409	 P = 1.000000
8156 :	 B-stat = 1.998246	 P = 1.000000
1938 :	 B-stat = 0.595506	 P = 1.000000
1935 :	 B-stat = 0.483303	 P = 1.000000
1933 :	 B-stat = 0.204805	 P = 1.000000
1929 :	 B-stat = 2.759819	 P = 1.000000
6429 :	 B-stat = 0.159275	 P = 1.000000
8899 :	 B-stat = 0.689267	 P = 1.000000
1924 :	 B-stat = 3.273818	 P = 1.000000
8900 :	 B-stat = 3.981408	 P = 1.000000
4757 :	 B-stat = 4.531149	 P = 1.000000
8703 :	 B-stat = 7.213543	 P = 1.000000
1915 :	 B-stat = 1.458984	 P = 1.000000
1912 :	 B-stat = 2.855840	 P = 1.000000
1911 :	 B-stat = 2.565490	 P = 1.000000
4493 :	 B-stat = 4.229785	 P = 1.000000
1908 :	 B-stat = 0.811590	 P = 1.000000
4492 :	 B-stat = 2.434359	 P = 1.000000
8901 :	 B-stat = 2.083022	 P = 1.000000
8904 :	 B-stat = 2.326841	 P = 1.000000
6096 :	 B-stat = 1.286524	 P = 1.000000
8905 :	 B-stat = 0.815909	 P = 1.000000
4489 :	 B-stat = 0.300066	 P = 1.000000
8906 :	 B-stat = 2.702024	 P = 1.000000
1852 :	 B-stat = 4.872882	 P = 1.000000
1847 :	 B-stat = 0.543130	 P = 1.000000
1840 :	 B-stat = 0.624657	 P = 1.000000
8907 :	 B-stat = 2.273080	 P = 1.000000
8908 :	 B-stat = 3.314281	 P = 1.000000
8912 :	 B-stat = 3.032981	 P = 1.000000
1818 :	 B-stat = 2.814733	 P = 1.000000
4486 :	 B-stat = 0.343315	 P = 1.000000
1815 :	 B-stat = 1.965684	 P = 1.000000
1809 :	 B-stat = 1.793007	 P = 1.000000
1807 :	 B-stat = 1.720210	 P = 1.000000
1805 :	 B-stat = 1.703913	 P = 1.000000
7992 :	 B-stat = 2.480200	 P = 1.000000
1799 :	 B-stat = 0.394574	 P = 1.000000
1795 :	 B-stat = 2.442386	 P = 1.000000
1794 :	 B-stat = 1.305831	 P = 1.000000
1793 :	 B-stat = 1.526037	 P = 1.000000
1792 :	 B-stat = 0.839876	 P = 1.000000
8913 :	 B-stat = 1.691498	 P = 1.000000
1787 :	 B-stat = 2.876026	 P = 1.000000
8918 :	 B-stat = 1.438982	 P = 1.000000
1781 :	 B-stat = 3.206832	 P = 1.000000
1780 :	 B-stat = 1.058619	 P = 1.000000
8919 :	 B-stat = 2.370726	 P = 1.000000
8922 :	 B-stat = 0.155631	 P = 1.000000
8162 :	 B-stat = 0.640728	 P = 1.000000
1712 :	 B-stat = 0.026267	 P = 1.000000
1709 :	 B-stat = 0.012019	 P = 1.000000
1655 :	 B-stat = 1.486309	 P = 1.000000
1652 :	 B-stat = 1.602169	 P = 1.000000
1651 :	 B-stat = 0.686799	 P = 1.000000
1649 :	 B-stat = 0.004726	 P = 1.000000
5883 :	 B-stat = 0.206103	 P = 1.000000
1645 :	 B-stat = 4.098769	 P = 1.000000
6983 :	 B-stat = 0.273954	 P = 1.000000
1630 :	 B-stat = 2.611059	 P = 1.000000
1619 :	 B-stat = 1.859501	 P = 1.000000
6803 :	 B-stat = 2.540033	 P = 1.000000
1615 :	 B-stat = 0.971605	 P = 1.000000
8930 :	 B-stat = 1.396663	 P = 1.000000
4446 :	 B-stat = 5.646235	 P = 1.000000
8173 :	 B-stat = 2.833544	 P = 1.000000
1604 :	 B-stat = 4.115718	 P = 1.000000
1601 :	 B-stat = 0.853210	 P = 1.000000
5226 :	 B-stat = 0.705383	 P = 1.000000
1597 :	 B-stat = 0.768533	 P = 1.000000
5657 :	 B-stat = 3.115033	 P = 1.000000
1595 :	 B-stat = 2.677753	 P = 1.000000
1593 :	 B-stat = 1.364559	 P = 1.000000
5658 :	 B-stat = 0.633248	 P = 1.000000
5659 :	 B-stat = 0.482333	 P = 1.000000
1590 :	 B-stat = 2.046105	 P = 1.000000
6190 :	 B-stat = 0.557933	 P = 1.000000
6997 :	 B-stat = 1.103314	 P = 1.000000
1586 :	 B-stat = 0.378651	 P = 1.000000
1584 :	 B-stat = 1.833778	 P = 1.000000
8950 :	 B-stat = 1.172787	 P = 1.000000
1580 :	 B-stat = 0.340315	 P = 1.000000
1578 :	 B-stat = 1.110584	 P = 1.000000
7000 :	 B-stat = 1.899749	 P = 1.000000
5227 :	 B-stat = 1.980397	 P = 1.000000
1573 :	 B-stat = 0.724720	 P = 1.000000
7994 :	 B-stat = 9.462047	 P = 1.000000
1570 :	 B-stat = 2.800794	 P = 1.000000
5228 :	 B-stat = 1.195479	 P = 1.000000
1564 :	 B-stat = 3.893695	 P = 1.000000
1561 :	 B-stat = 1.741376	 P = 1.000000
7005 :	 B-stat = 2.783061	 P = 1.000000
1559 :	 B-stat = 0.777938	 P = 1.000000
1556 :	 B-stat = 2.854042	 P = 1.000000
7007 :	 B-stat = 2.879786	 P = 1.000000
1552 :	 B-stat = 3.223320	 P = 1.000000
5496 :	 B-stat = 2.150858	 P = 1.000000
8960 :	 B-stat = 0.072110	 P = 1.000000
6553 :	 B-stat = 6.249638	 P = 1.000000
1545 :	 B-stat = 0.883386	 P = 1.000000
2677 :	 B-stat = 1.920435	 P = 1.000000
5668 :	 B-stat = 1.603441	 P = 1.000000
6200 :	 B-stat = 5.632100	 P = 1.000000
1523 :	 B-stat = 1.171546	 P = 1.000000
1444 :	 B-stat = 1.662536	 P = 1.000000
1432 :	 B-stat = 0.397985	 P = 1.000000
1427 :	 B-stat = 3.974138	 P = 1.000000
8965 :	 B-stat = 1.148916	 P = 1.000000
1386 :	 B-stat = 0.950852	 P = 1.000000
5669 :	 B-stat = 4.303068	 P = 1.000000
8969 :	 B-stat = 0.631197	 P = 1.000000
1364 :	 B-stat = 3.903171	 P = 1.000000
4416 :	 B-stat = 1.926521	 P = 1.000000
8970 :	 B-stat = 1.297208	 P = 1.000000
8971 :	 B-stat = 1.240599	 P = 1.000000
1346 :	 B-stat = 0.666699	 P = 1.000000
1345 :	 B-stat = 1.625994	 P = 1.000000
1343 :	 B-stat = 2.915444	 P = 1.000000
1338 :	 B-stat = 1.867958	 P = 1.000000
6202 :	 B-stat = 4.875324	 P = 1.000000
8973 :	 B-stat = 0.908325	 P = 1.000000
4376 :	 B-stat = 2.268057	 P = 1.000000
1323 :	 B-stat = 2.361741	 P = 1.000000
1321 :	 B-stat = 1.512519	 P = 1.000000
1301 :	 B-stat = 1.490675	 P = 1.000000
1292 :	 B-stat = 6.937451	 P = 1.000000
8976 :	 B-stat = 1.280831	 P = 1.000000
7566 :	 B-stat = 0.849784	 P = 1.000000
5672 :	 B-stat = 4.268763	 P = 1.000000
5232 :	 B-stat = 2.177737	 P = 1.000000
1265 :	 B-stat = 0.710072	 P = 1.000000
1264 :	 B-stat = 3.622432	 P = 1.000000
7572 :	 B-stat = 2.387821	 P = 1.000000
1262 :	 B-stat = 1.063065	 P = 1.000000
7575 :	 B-stat = 8.488068	 P = 1.000000
7577 :	 B-stat = 2.099468	 P = 1.000000
1254 :	 B-stat = 0.574922	 P = 1.000000
1239 :	 B-stat = 2.592645	 P = 1.000000
6567 :	 B-stat = 1.295849	 P = 1.000000
1229 :	 B-stat = 2.925258	 P = 1.000000
1226 :	 B-stat = 9.777089	 P = 1.000000
1205 :	 B-stat = 1.457831	 P = 1.000000
7996 :	 B-stat = 4.539862	 P = 1.000000
1202 :	 B-stat = 0.732365	 P = 1.000000
1201 :	 B-stat = 3.678961	 P = 1.000000
6568 :	 B-stat = 1.169159	 P = 1.000000
1198 :	 B-stat = 1.180000	 P = 1.000000
4960 :	 B-stat = 1.161722	 P = 1.000000
1196 :	 B-stat = 3.783925	 P = 1.000000
6570 :	 B-stat = 0.104907	 P = 1.000000
6571 :	 B-stat = 3.357477	 P = 1.000000
4355 :	 B-stat = 0.677606	 P = 1.000000
1126 :	 B-stat = 5.784536	 P = 1.000000
7587 :	 B-stat = 1.370639	 P = 1.000000
1121 :	 B-stat = 1.565205	 P = 1.000000
1116 :	 B-stat = 1.324964	 P = 1.000000
7339 :	 B-stat = 2.279903	 P = 1.000000
7590 :	 B-stat = 5.147374	 P = 1.000000
1092 :	 B-stat = 0.148560	 P = 1.000000
4353 :	 B-stat = 0.553472	 P = 1.000000
1061 :	 B-stat = 2.218960	 P = 1.000000
4352 :	 B-stat = 2.208715	 P = 1.000000
1057 :	 B-stat = 0.771917	 P = 1.000000
1032 :	 B-stat = 3.021348	 P = 1.000000
1016 :	 B-stat = 0.602272	 P = 1.000000
5239 :	 B-stat = 1.860179	 P = 1.000000
961 :	 B-stat = 14.407921	 P = 1.000000
4351 :	 B-stat = 1.604435	 P = 1.000000
4348 :	 B-stat = 2.684227	 P = 1.000000
883 :	 B-stat = 2.976599	 P = 1.000000
872 :	 B-stat = 4.519468	 P = 1.000000
871 :	 B-stat = 2.956511	 P = 1.000000
4344 :	 B-stat = 4.228332	 P = 1.000000
5683 :	 B-stat = 5.070460	 P = 1.000000
6580 :	 B-stat = 2.366741	 P = 1.000000
862 :	 B-stat = 1.924807	 P = 1.000000
5240 :	 B-stat = 4.101329	 P = 1.000000
4961 :	 B-stat = 2.981141	 P = 1.000000
6099 :	 B-stat = 4.557136	 P = 1.000000
841 :	 B-stat = 6.796793	 P = 1.000000
829 :	 B-stat = 8.165572	 P = 1.000000
828 :	 B-stat = 0.699144	 P = 1.000000
795 :	 B-stat = 6.360240	 P = 1.000000
9016 :	 B-stat = 0.382033	 P = 1.000000
4780 :	 B-stat = 1.279771	 P = 1.000000
7400 :	 B-stat = 3.043552	 P = 1.000000
782 :	 B-stat = 0.396639	 P = 1.000000
4963 :	 B-stat = 0.074565	 P = 1.000000
774 :	 B-stat = 3.581434	 P = 1.000000
5244 :	 B-stat = 0.073235	 P = 1.000000
4335 :	 B-stat = 2.293320	 P = 1.000000
7047 :	 B-stat = 9.267602	 P = 1.000000
753 :	 B-stat = 1.762505	 P = 1.000000
743 :	 B-stat = 0.182533	 P = 1.000000
5368 :	 B-stat = 9.229611	 P = 1.000000
5042 :	 B-stat = 2.384521	 P = 1.000000
724 :	 B-stat = 5.402067	 P = 1.000000
4865 :	 B-stat = 2.380788	 P = 1.000000
713 :	 B-stat = 1.836952	 P = 1.000000
4965 :	 B-stat = 1.303207	 P = 1.000000
696 :	 B-stat = 4.697776	 P = 1.000000
692 :	 B-stat = 2.538564	 P = 1.000000
4966 :	 B-stat = 1.249826	 P = 1.000000
675 :	 B-stat = 2.321404	 P = 1.000000
674 :	 B-stat = 0.609438	 P = 1.000000
672 :	 B-stat = 0.472992	 P = 1.000000
670 :	 B-stat = 0.229183	 P = 1.000000
669 :	 B-stat = 1.100310	 P = 1.000000
4813 :	 B-stat = 0.737975	 P = 1.000000
4333 :	 B-stat = 4.682906	 P = 1.000000
4332 :	 B-stat = 2.686508	 P = 1.000000
5048 :	 B-stat = 6.801489	 P = 1.000000
660 :	 B-stat = 1.523654	 P = 1.000000
657 :	 B-stat = 0.018999	 P = 1.000000
655 :	 B-stat = 0.902633	 P = 1.000000
4331 :	 B-stat = 0.614056	 P = 1.000000
647 :	 B-stat = 5.005272	 P = 1.000000
8715 :	 B-stat = 1.252771	 P = 1.000000
4329 :	 B-stat = 1.866402	 P = 1.000000
598 :	 B-stat = 5.980530	 P = 1.000000
591 :	 B-stat = 2.001159	 P = 1.000000
557 :	 B-stat = 7.805626	 P = 1.000000
520 :	 B-stat = 2.920949	 P = 1.000000
7058 :	 B-stat = 0.982890	 P = 1.000000
478 :	 B-stat = 4.748105	 P = 1.000000
477 :	 B-stat = 12.680923	 P = 1.000000
9444 :	 B-stat = 0.565886	 P = 1.000000
5700 :	 B-stat = 2.009281	 P = 1.000000
461 :	 B-stat = 2.608002	 P = 1.000000
460 :	 B-stat = 1.494558	 P = 1.000000
456 :	 B-stat = 1.164887	 P = 1.000000
450 :	 B-stat = 1.702064	 P = 1.000000
6236 :	 B-stat = 5.160609	 P = 1.000000
4326 :	 B-stat = 0.911277	 P = 1.000000
0 :	 B-stat = 2.041596	 P = 1.000000
7347 :	 B-stat = 0.612653	 P = 1.000000
440 :	 B-stat = 2.182868	 P = 1.000000
433 :	 B-stat = 1.776999	 P = 1.000000
432 :	 B-stat = 0.403536	 P = 1.000000
428 :	 B-stat = 0.123584	 P = 1.000000
425 :	 B-stat = 0.749992	 P = 1.000000
